Cocktail-Name,Root-cocktail,Principal-Spirit
ClassicOldFashioned,OldFashioned,Bourbon
Sazerac,OldFashioned,Rye
MintJulep,OldFashioned,Bourbon
HotToddy,OldFashioned,Bourbon
Stinger,OldFashioned,Cognac
ChampagneCocktail,OldFashioned,Champagne
ClassicMartini,Martini,Gin
Vesper,Martini,Gin
Negroni,Martini,Gin
Boulevardier,Martini,Bourbon
Manhattan,Martini,Rye
Martinez,Martini,Gin
ClassicDaiquiri,Daiquiri,Rum
HemingwayDaiquiri,Daiquiri,Rum
PiscoSour,Daiquiri,Pisco
Bee'sKnees,Daiquiri,Gin
BrownDerby,Daiquiri,Bourbon
French75,Daiquiri,Gin
ClassicSidecar,Sidecar,Cognac
Margarita,Sidecar,Tequila
LastWord,Sidecar,Gin
PaperPlane,Sidecar,Bourbon
Cosmopolitan,Sidecar,Vodka
CorpseReviver#2,Sidecar,Gin
ClassicWhiskyHighball,Highball,Whiskey
Paloma,Highball,Tequila
GinandTonic,Highball,Gin
CubaLibre,Highball,Rum
Mimosa,Highball,Champagne
BloodyMary,Highball,Vodka
ClassicFlip,Flip,Sherry
NewYorkFlip,Flip,Bourbon
EggNog,Flip,Rum
WhiteRussian,Flip,Vodka
IrishCoffee,Flip,Whiskey
PinaColada,Flip,Rum
